Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,"=""1250103509""","=""9781250103505""",5,4.11,St. Martin's Press,Hardcover,246,2017,2017,,2021/05/23,,,read,,,,1,,,0,,,,,,",2021-05-23","Business|966;Leadership|713;Nonfiction|605;Business,Management|425;Self Help|160;Self Help,Personal Development|97;Audiobook|78;Language,Communication|71;Psychology|64;Buisness|61"
49531236,"Becoming Bulletproof: Protect Yourself, Read People, Influence Situations, and Live Fearlessly",Evy Poumpouras,"Poumpouras, Evy",,"=""1982103752""","=""9781982103750""",4,4.22,Atria Books,Hardcover,320,2020,2020,,2021/05/18,,,read,,,,1,,,0,,,,,,",2021-05-18","Nonfiction|66;Self Help|44;Psychology|27;Self Help,Personal Development|10;Audiobook|7;Autobiography,Memoir|4;Adult|4;Health,Mental Health|3;Mystery,Crime|3;Business,Entrepreneurship|2"
18176747,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,"Horowitz, Ben",,"=""0062273205""","=""9780062273208""",5,4.24,Harper Business,Hardcover,304,2014,2014,,2021/05/15,,,read,,,,1,,,0,,,,,,",2021-05-11","Business|2743;Nonfiction|625;Business,Entrepreneurship|390;Business,Management|345;Leadership|326;Buisness|127;Self Help|114;Science,Technology|71;Biography|69;Self Help,Personal Development|51"
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",4,4.03,Crown Business,Hardcover,260,2014,2011,,2021/05/15,,,read,,,,1,,,0,,,,,,",2021-05-15","Nonfiction|1899;Self Help|1183;Business|884;Productivity|577;Self Help,Personal Development|543;Psychology|313;Philosophy|267;Leadership|213;Audiobook|211;Business,Management|64"
42118073,Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell,Eric Schmidt,"Schmidt, Eric","Jonathan Rosenberg, Alan Eagle","=""0062839268""","=""9780062839268""",3,4.01,Harper Business,Hardcover,240,2019,2019,,2021/05/01,,,read,,,,1,,,0,,,,,,",2021-05-01","Business|399;Leadership|231;Nonfiction|111;Business,Management|93;Biography|64;Self Help|29;Business,Entrepreneurship|22;Self Help,Personal Development|16;Science,Technology|16;Audiobook|13"
37786022,"Storyworthy: Engage, Teach, Persuade, and Change Your Life through the Power of Storytelling",Matthew Dicks,"Dicks, Matthew",Dan Kennedy,"=""1608685489""","=""9781608685486""",5,4.34,New World Library,Paperback,368,2018,2018,,2021/01/07,,,read,,,,1,,,0,,,,,,,"Nonfiction|115;Language,Writing|50;Self Help|45;Business|27;Self Help,Personal Development|23;Language,Communication|18;Psychology|9;Productivity|6;Leadership|5;Autobiography,Memoir|4"
37570546,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,"Gottlieb, Lori",,"=""1328662055""","=""9781328662057""",4,4.37,Houghton Mifflin Harcourt,Hardcover,415,2019,2019,,2021/04/18,,,read,,,,1,,,0,,,,,,,"Nonfiction|3091;Autobiography,Memoir|1350;Psychology|1265;Self Help|716;Health,Mental Health|479;Audiobook|419;Biography|225;Biography Memoir|169;Adult|138;Health|102"
17690,The Trial,Franz Kafka,"Kafka, Franz","Max Brod, Willa Muir, Edwin Muir, علی اصغر حداد","=""""","=""""",0,3.96,Vintage,Paperback,255,2001,1925,,2021/04/16,to-read,to-read (#52),to-read,,,,0,,,0,,,,,,,"Classics|5242;Fiction|4643;Literature|929;Philosophy|879;European Literature,German Literature|609;Novels|550;Science Fiction,Dystopia|365;Literature,20th Century|246;European Literature,Czech Literature|214;Literary Fiction|176"
53720447,"Connect: Building Exceptional Relationships with Family, Friends, and Colleagues",David Bradford,"Bradford, David",Carole Robin,"=""0593237099""","=""9780593237090""",5,4.17,Currency,Hardcover,320,2021,,2021/04/09,2021/04/09,,,read,,,,2,,,0,,,,,,",2021-04-09","Nonfiction|12;Relationships|6;Psychology|6;Business,Management|4;Self Help|4;Language,Communication|3;Self Help,Personal Development|3;Health|2;Business|2"
1071726,The Peregrine,J.A. Baker,"Baker, J.A.",,"=""1590171330""","=""9781590171332""",4,4.18,NYRB Classics,Paperback,191,2004,1967,,2020/01/27,to-read,to-read (#22),to-read,"I can't forget the image of a peregrine screeching ""Falcooon Pawnch"" on a stoop above a scared lapwing.",,,0,,,0,,,,,,,"Nonfiction|202;Environment,Nature|157;Science|52;Animals,Birds|45;Animals|39;Science,Natural History|32;Classics|23;Poetry|18;Science,Biology|18;Environment|17"
