,"Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16+CD56- | Freq. of Parent (%)","Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16+CD56dim | Freq. of Parent (%)","Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16-CD56bright | Freq. of Parent (%)",
29d.fcs,8.65,83.7,2.94,
29e.fcs,12.0,72.9,8.10,
57d.fcs,56.1,36.0,3.59,
57e.fcs,60.0,31.8,4.30,
61d.fcs,25.4,63.2,4.42,
61e.fcs,12.1,77.3,7.10,
82e.fcs,44.9,43.0,3.97,
85d.fcs,20.0,69.6,2.89,
85e.fcs,21.1,70.8,1.24,
LRS_1_7.26.fcs,22.1,63.8,6.37,
Mean,28.2,61.2,4.49,
SD,18.7,18.0,2.11,
