,"Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16+CD56- | Freq. of Parent (%)","Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16+CD56dim | Freq. of Parent (%)","Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16-CD56bright | Freq. of Parent (%)"
133d.fcs,39.3,39.9,4.09
133e.fcs,37.5,47.5,4.8
136d.fcs,16,72,2.76
136e.fcs,19.5,69.8,1.33
141d.fcs,65.7,22.1,3.47
141e.fcs,58.9,28,3.54
143d.fcs,35.7,50.5,2.42
143e.fcs,17.4,71.8,3.18
144d.fcs,82.9,8.85,1.98
145d.fcs,33.4,45.2,6.41
145e.fcs,23.5,47.8,15
159e.fcs,45.4,33.7,8.64
161d.fcs,35.7,48.4,4.2
166d.fcs,12.6,3.6,0
166e.fcs,29.1,58.6,2.35
172d.fcs,38.2,38.9,6.56
172e.fcs,39.4,40,6.97
LRS_1_8.2.fcs,42.2,40.2,5.78
Mean,37.4,42.6,4.64
SD,18,19.2,3.39
